entity_id,entity_name,merchant_category,risk_score,risk_level,risk_factors,entity_type,kyc_status
MCH7679,Sama And Sons,Pharmacies,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2605,Gera-Karpe,Fashion,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5737,"Chaudhary, Raghavan And Brahmbhatt",Pharmacies,25.0,LOW,Average transaction (12862) exceeds declared ticket (1420) by 9.1x,MERCHANT,
MCH1811,Varkey Inc,Department Store,45.0,MEDIUM,Severe chargeback ratio (200.0%),MERCHANT,
MCH5626,"Borah, Bedi And Khalsa",Hotel,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH3616,Dua Group,Book Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6079,"Seshadri, Muni And Banik",Hotel_Lodging,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2081,Swaminathan And Sons,Hotels,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4296,Varty-Varma,Misc Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7239,"Trivedi, Ramesh And Prabhakar",Apparel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8968,"Majumdar, Setty And Sahni",Restaurant,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (14592) exceeds declared ticket (478) by 30.5x,MERCHANT,
MCH1593,Wali-Murthy,Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5106,Sagar Llc,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6183,Dutt Plc,Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7828,Jhaveri And Sons,Garments,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9548,Raja Plc,Transportation,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9107,"Devi, Chhabra And Sharaf",Garments,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4244,"Doctor, Pillay And Nori",Department Store,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH3890,Tata-Bal,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1763,Dhillon Ltd,Dept_Store,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH3974,"Mishra, Baral And Char",Book Store,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH8988,"Ratti, Rattan And Menon",Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9398,"Soman, Murthy And Mangat",Grocery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9009,"Singhal, Patil And Brar",Retail,55.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (9895) exceeds declared ticket (1016) by 9.7x; High frequency of missing UTRs (2/5),MERCHANT,
MCH3324,Char-Gera,Garments,70.0,HIGH,Severe chargeback ratio (100.0%); Merchant account currently SUSPENDED,MERCHANT,
MCH1447,Uppal Ltd,Medical,25.0,LOW,Average transaction (9945) exceeds declared ticket (236) by 42.1x,MERCHANT,
MCH6743,Patla Inc,Mobile Recharge,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2350,"Gill, Sura And Doshi",Restaurant,25.0,LOW,Average transaction (7986) exceeds declared ticket (668) by 12.0x,MERCHANT,
MCH4102,Dass Llc,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1770,Prabhu Inc,Grocery Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3510,Sankaran Inc,Apparel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5112,Agarwa1 Ltd,Retail,25.0,LOW,Average transaction (13443) exceeds declared ticket (783) by 17.2x,MERCHANT,
MCH7724,"Johal, Khatri And Sant",Grocery,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (16040) exceeds declared ticket (3133) by 5.1x,MERCHANT,
MCH7871,"Mital, Palla And Saraf",Cloths,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1001,Anand-Kothari,Kirana,25.0,LOW,Average transaction (12494) exceeds declared ticket (333) by 37.6x,MERCHANT,
MCH1714,Sampath Llc,Fashion,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6681,Baria Plc,Bus/Taxi,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (15019) exceeds declared ticket (1343) by 11.2x,MERCHANT,
MCH8607,Sachdeva-Dutta,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5799,Nagar Inc,Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5851,"Chakrabarti, Sen And Misra",Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4709,Ramakrishnan-Palla,Phone Service,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH8974,"Shukla, Gaba And Sani",Pharmacy,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7323,Koshy-Comar,Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3021,"Gupta, Mukherjee And Setty",Bus/Taxi,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7256,Arora-Raman,Transprt,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4486,"Bumb, Kibe And Saraf",Mobile Recharge,25.0,LOW,Settlement account shared with multiple merchant entities,MERCHANT,
MCH1683,"Sampath, Anne And Madan",Food_Services,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (14282) exceeds declared ticket (2459) by 5.8x,MERCHANT,
MCH2310,Raj Ltd,Grocery Stores,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH5528,"Bhagat, Sathe And Iyengar",Grocery,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH3072,Vora-Soman,Clothing,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3449,Nigam-Agate,Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2755,"Majumdar, Ravi And Dave",Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7176,"Sachar, Wali And Saha",Travel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3675,Soman Llc,Miscellaneous,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (13915) exceeds declared ticket (223) by 62.4x,MERCHANT,
MCH4284,Chawla Llc,Travel,40.0,MEDIUM,Settlement account shared with multiple merchant entities; Average transaction (13283) exceeds declared ticket (385) by 34.5x,MERCHANT,
MCH4695,Patel-Halder,Restaurants,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5233,Raghavan-Mall,Mobile Recharge,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9849,Jayaraman Inc,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5856,"Wason, Savant And Bahl",Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6044,Narain-Srivastava,Hospitality,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH2535,Mody-Grewal,Garments,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7149,Keer-Dua,Transportation,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH7057,"Lad, Kala And Bhagat",Telecom,25.0,LOW,Average transaction (11004) exceeds declared ticket (1334) by 8.3x,MERCHANT,
MCH7199,Manda And Sons,Books,45.0,MEDIUM,Elevated chargeback ratio (16.7%); Average transaction (12594) exceeds declared ticket (1078) by 11.7x,MERCHANT,
MCH5595,"Menon, Ahluwalia And Mistry",Hospitality,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1405,Chandra Inc,Department Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1068,Mall-Palan,Other,25.0,LOW,Average transaction (8803) exceeds declared ticket (663) by 13.3x,MERCHANT,
MCH2724,Saha Group,Department Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH5237,"Dave, Sani And Swaminathan",Pharmacy,85.0,HIGH,Severe chargeback ratio (50.0%); Merchant account currently SUSPENDED; Average transaction (8875) exceeds declared ticket (1955) by 4.5x,MERCHANT,
MCH7744,Nath Plc,Retail,45.0,MEDIUM,Severe chargeback ratio (25.0%),MERCHANT,
MCH3518,Borah And Sons,Transportation,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (17852) exceeds declared ticket (451) by 39.6x,MERCHANT,
MCH3354,"Barad, Ahluwalia And Mahal",Books_Stationery,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (12148) exceeds declared ticket (906) by 13.4x,MERCHANT,
MCH2951,"Thakur, Subramaniam And Agrawal",Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6855,"Soman, Ravel And Anand",Groceries,25.0,LOW,Average transaction (11356) exceeds declared ticket (1386) by 8.2x,MERCHANT,
MCH8130,"Kale, Kumer And Chand",Dept_Store,25.0,LOW,Average transaction (11381) exceeds declared ticket (420) by 27.1x,MERCHANT,
MCH5231,Varghese-Rattan,Grocery,25.0,LOW,Average transaction (14643) exceeds declared ticket (692) by 21.2x,MERCHANT,
MCH5283,"Verma, Narasimhan And Balan",Pharmacies,35.0,MEDIUM,Average transaction (19576) exceeds declared ticket (1266) by 15.5x; High frequency of missing UTRs (1/3),MERCHANT,
MCH1939,"Lal,Sahniandchopra",Hotels,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6404,Tailor Group,Other,50.0,MEDIUM,Merchant account currently SUSPENDED; Average transaction (15731) exceeds declared ticket (792) by 19.9x,MERCHANT,
MCH9135,"Nath, Samra And Chopra",Mobile Recharge,25.0,LOW,Average transaction (9919) exceeds declared ticket (388) by 25.6x,MERCHANT,
MCH4389,"Bobal, Chakrabarti And Dash",Pharmacy,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9489,Badal-Sankaran,Transport,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4556,Bhakta Inc,Book Store,25.0,LOW,Average transaction (13365) exceeds declared ticket (882) by 15.2x,MERCHANT,
MCH8024,Banik Plc,Grocery Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9988,"Johal, Padmanabhan And Sagar",Medical,55.0,MEDIUM,Severe chargeback ratio (50.0%); High frequency of missing UTRs (1/2),MERCHANT,
MCH9582,"Aggarwal, Morar And Vohra",Telecom,45.0,MEDIUM,Severe chargeback ratio (200.0%),MERCHANT,
MCH2656,"Patla, Deo And Babu",Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7772,"Chatterjee, Wason And Nadkarni",Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7288,"Kumar, Sachdeva And Natarajan",Miscellaneous,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH6380,Naik-Kalla,Other,70.0,HIGH,Severe chargeback ratio (25.0%); Merchant account currently SUSPENDED,MERCHANT,
MCH8828,Ranganathan And Sons,Travel,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH8310,Chakraborty Ltd,Travel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7152,"Bedi, Patil And Rana",Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4951,"Natt, Dyal And Gill",Grocery_Store,35.0,MEDIUM,Average transaction (15210) exceeds declared ticket (430) by 35.4x; High frequency of missing UTRs (1/3),MERCHANT,
MCH4648,Tara-Pandya,Clothing,25.0,LOW,Average transaction (12472) exceeds declared ticket (852) by 14.6x,MERCHANT,
MCH3211,"Mani, Hora And Hayer",Pharmacy,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4106,Dey And Sons,Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6431,"Batra, Pant And Devan",Hotels,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH5408,"Setty, Mangal And Dhar",Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9605,Chokshi Llc,Restaurants,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3311,Sule Ltd,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1679,"Chawla, Sura And Pal",Bus/Taxi,50.0,MEDIUM,Merchant account currently SUSPENDED; Average transaction (15871) exceeds declared ticket (1030) by 15.4x,MERCHANT,
MCH2382,Parsa-Mandal,Telecom,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH3037,Wagle Ltd,Grocery Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2676,"Kohli, Biswas And Aggarwal",Chemist,65.0,HIGH,Severe chargeback ratio (100.0%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH9447,Sundaram Llc,Retail Other,25.0,LOW,Average transaction (5558) exceeds declared ticket (975) by 5.7x,MERCHANT,
MCH5525,Nagy And Sons,Hotel_Lodging,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9609,Bhatti Inc,Grocery_Store,85.0,HIGH,Severe chargeback ratio (25.0%); Merchant account currently SUSPENDED; Average transaction (13614) exceeds declared ticket (1792) by 7.6x,MERCHANT,
MCH5753,"Nair, Pai And Issac",Garments,45.0,MEDIUM,Severe chargeback ratio (25.0%),MERCHANT,
MCH8379,Deep Group,Books,50.0,MEDIUM,Merchant account currently SUSPENDED; Average transaction (12930) exceeds declared ticket (469) by 27.6x,MERCHANT,
MCH3145,Chaudry And Sons,Department Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3869,Hegde Ltd,Department Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8708,"Mukherjee, Sami And Purohit",Retail Other,50.0,MEDIUM,Merchant account currently SUSPENDED; Average transaction (11466) exceeds declared ticket (2920) by 3.9x,MERCHANT,
MCH4337,Sethi Ltd,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1352,"Bandi, Soman And Manne",Food,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3586,Dayal-Nagar,Pharmacies,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH4547,Rout Inc,Restaurant,45.0,MEDIUM,Severe chargeback ratio (50.0%),MERCHANT,
MCH2046,Konda-Garde,Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6904,"Dora, Buch And Dara",Kirana,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2618,"Loyal, Nadkarni And Mangal",Books,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2430,Bora Group,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3619,"Mody, Sami And Batta",Retail Other,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH2860,Ahluwalia Ltd,Hotel_Lodging,25.0,LOW,Average transaction (21495) exceeds declared ticket (250) by 86.0x,MERCHANT,
MCH7521,Boase Plc,Bus/Taxi,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5890,Apte-Sant,Department Store,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH1491,"Sarna, Chand And Goda",Telecom,25.0,LOW,Average transaction (11155) exceeds declared ticket (1076) by 10.4x,MERCHANT,
MCH1966,Munshi-Bath,Travel,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH6023,Datta Plc,Kirana,25.0,LOW,Average transaction (15754) exceeds declared ticket (2184) by 7.2x,MERCHANT,
MCH5569,"Thaman, Kar And Dass",Misc Retail,65.0,HIGH,Severe chargeback ratio (33.3%); Active transactions on INACTIVE merchant account,MERCHANT,
MCH7034,Deol Llc,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6998,Jani-Nayak,Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6084,Gera-Patla,Bus/Taxi,60.0,HIGH,Severe chargeback ratio (33.3%); Average transaction (14088) exceeds declared ticket (3360) by 4.2x,MERCHANT,
MCH1324,"Edwin, Savant And Tandon",Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH7821,Deshmukh Inc,Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1990,Sawhney-Parekh,Mobile Recharge,25.0,LOW,Average transaction (6374) exceeds declared ticket (508) by 12.6x,MERCHANT,
MCH1417,"Sekhon, Parsa And Bandi",Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6035,Radhakrishnan-Chad,Eating Place,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6019,Chatterjee Ltd,Food,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8014,Mukherjee Inc,Pharmacies,25.0,LOW,Average transaction (14979) exceeds declared ticket (702) by 21.3x,MERCHANT,
MCH3837,"Char, Naik And Sachdev",Other,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH1946,Sibal Llc,Hospitality,25.0,LOW,Average transaction (22526) exceeds declared ticket (2805) by 8.0x,MERCHANT,
MCH2309,"Bajaj, Chakraborty And Malhotra",Dept_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2353,Sood-Vasa,Grocery_Store,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH3446,Ganesan-Contractor,Grocery_Store,40.0,MEDIUM,Active transactions on INACTIVE merchant account; High frequency of missing UTRs (1/2),MERCHANT,
MCH9383,"Sekhon,Padmanabhanandrege",Books_Stationery,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH9410,Sagar-Chawla,Fashion,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9022,"Kunda,Dugarandkari",Garments,10.0,LOW,Normal operational parameters,MERCHANT,
MCH4050,"Arya, Dyal And Aurora",Grocery_Store,25.0,LOW,Average transaction (19739) exceeds declared ticket (980) by 20.1x,MERCHANT,
MCH7623,Pandya Llc,Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3737,Raval-Kurian,Restaurants,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9503,Kulkarni Llc,Transprt,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH6447,Kant-Tella,Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9770,Jha-Andra,Transprt,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH9638,"Dara, Badami And Sen",Garments,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6221,Dey-Maharaj,Chemist,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2727,"Viswanathan, Kamdar And Raman",Telecom,25.0,LOW,Average transaction (14810) exceeds declared ticket (2886) by 5.1x,MERCHANT,
MCH3822,Anne And Sons,Grocery,45.0,MEDIUM,Severe chargeback ratio (100.0%),MERCHANT,
MCH5227,Gala Plc,Hotel,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6992,"Srivastava, Sha And Natarajan",Restaurant,10.0,LOW,Normal operational parameters,MERCHANT,
MCH5559,Muni-Raval,Groceries,25.0,LOW,Average transaction (6861) exceeds declared ticket (723) by 9.5x,MERCHANT,
MCH4676,Shan Inc,Other,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6282,Madan-Din,Hotels,10.0,LOW,Normal operational parameters,MERCHANT,
MCH2708,"Mand, Zacharia And Vora",Travel,25.0,LOW,Average transaction (13704) exceeds declared ticket (364) by 37.7x,MERCHANT,
MCH6460,Deol-Narayanan,Retail,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1171,Sampath-Shroff,Medical_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1986,Vaidya-Roy,Clothing,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9457,"Grover, Deep And Subramaniam",Travel,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (8571) exceeds declared ticket (277) by 31.0x,MERCHANT,
MCH7493,Sachdeva-Pillai,Cloths,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (11018) exceeds declared ticket (203) by 54.2x,MERCHANT,
MCH6024,"Saran, Sinha And Barman",Restaurants,20.0,LOW,High frequency of missing UTRs (1/2),MERCHANT,
MCH6051,"Prashad, Date And Sodhi",Department Stores,45.0,MEDIUM,Severe chargeback ratio (33.3%),MERCHANT,
MCH3778,"Bhagat, Sama And Murthy",Phone Service,45.0,MEDIUM,Active transactions on INACTIVE merchant account; Average transaction (13460) exceeds declared ticket (2791) by 4.8x,MERCHANT,
MCH7313,Comar-Din,Telecom,25.0,LOW,Average transaction (10714) exceeds declared ticket (1884) by 5.7x,MERCHANT,
MCH7442,Thakur-Rana,Miscellaneous,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6670,Sawhney Inc,Grocery Stores,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1661,Kothari-Dara,Medical_Store,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1906,"Taneja, Mahajan And Sarna",Retail,30.0,LOW,Active transactions on INACTIVE merchant account,MERCHANT,
MCH3889,Upadhyay-Chaudhry,Bus/Taxi,10.0,LOW,Normal operational parameters,MERCHANT,
MCH9114,Tiwari-0Ak,Telecom,10.0,LOW,Normal operational parameters,MERCHANT,
MCH3163,Dada-Kalita,Chemist,25.0,LOW,Average transaction (14419) exceeds declared ticket (964) by 15.0x,MERCHANT,
MCH6109,Sampath Ltd,Telecom,25.0,LOW,Average transaction (12401) exceeds declared ticket (399) by 31.1x,MERCHANT,
MCH2297,Mutti And Sons,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH1260,Kothari-Nadkarni,Clothing,60.0,HIGH,Severe chargeback ratio (25.0%); Average transaction (12614) exceeds declared ticket (2375) by 5.3x,MERCHANT,
MCH8890,Halder Inc,Hotels,35.0,MEDIUM,Merchant account currently SUSPENDED,MERCHANT,
MCH2241,Patla-Prabhakar,Books_Stationery,10.0,LOW,Normal operational parameters,MERCHANT,
MCH8572,"Sheth,Sethandkulkarni",Phone Service,10.0,LOW,Normal operational parameters,MERCHANT,
MCH6025,Wable And Sons,Mobile Recharge,10.0,LOW,Normal operational parameters,MERCHANT,
